country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Niger,2569191,2659698,2749567,2838983,2928430,3018555,3109788,3202649,3297840,3395947,3497431,3602530,3711068,3822697,3937008,4053524,4172501,4294283,4417954,4542993,4669708,4797068,4926318,5059382,5196579,5339497,5488658,5644703,5810351,5987151,6173177,6366262,6564445,6766606,6973849,7187618,7408364,7636591,7872252,8116075,8370648,8634640,8907644,9193078,9493324,9813918,10149937,10494201,10854920,11231469,11622665,12031430,12456517,12900790,13366885,13855221,14365168,14897873,15455175,16037915,16647543,17283112,17954407,18653199,19372014,20128124,20921743,21737922,22577058,23443393,24333639,25252722,26207977,27202843
Nigeria,37189369,37903171,38624425,39347719,40082479,40839223,41616571,42413359,43214753,44044231,44928342,45855507,46821845,47822569,48856332,49925799,51020296,52106681,53210119,54360750,55569264,56837614,58173834,59605446,61157931,62851312,64658315,66589655,68633344,70750307,72951439,75175387,77388067,79351586,81337553,83585251,85804185,88044187,90351467,92744064,95214257,97685360,100182045,102775465,105456121,108187610,110956183,113791181,116690527,119695565,122851984,126152678,129583026,133119801,136756848,140490722,144329764,148294028,152382506,156595758,160952853,165463745,170075932,174726123,179379016,183995785,188666931,193495907,198387623,203304492,208327405,213401323,218541212,223804632
Niue,4485,4559,4617,4636,4647,4673,4706,4752,4803,4845,4876,4912,4987,5090,5202,5316,5412,5422,5359,5279,5185,5077,4922,4719,4499,4270,4053,3914,3828,3733,3637,3533,3396,3224,3038,2848,2680,2602,2583,2560,2533,2497,2458,2416,2375,2339,2300,2257,2207,2142,2074,2011,1965,1928,1891,1856,1833,1822,1821,1815,1812,1811,1813,1825,1833,1847,1861,1869,1887,1921,1942,1937,1934,1935
North Korea,11103379,10557969,10228066,10147600,10206242,10360269,10552182,10802103,11106854,11391376,11655666,11916515,12180505,12475236,12787523,13105946,13444048,13821409,14216305,14605481,14996879,15381626,15768363,16128122,16437002,16723252,16987170,17231389,17472094,17719172,17973650,18235202,18502087,18771363,19045154,19325487,19613038,19903893,20197464,20494965,20799523,21115534,21439991,21773017,22105225,22385536,22614347,22827373,23023636,23204498,23367059,23512522,23638411,23781707,23948930,24100982,24235761,24356506,24469047,24581509,24686435,24783789,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441,25867467,25971909,26069416,26160821
North Macedonia,1251433,1282525,1311488,1339581,1361960,1379140,1395504,1411818,1428602,1445685,1462368,1481112,1497338,1511854,1529507,1547982,1567707,1588649,1610537,1633502,1656783,1679012,1701498,1725228,1749329,1774013,1799332,1825299,1851978,1879354,1907023,1935200,1958275,1974441,1988682,2001504,2012926,2023097,2031932,2039426,2044174,2036686,2018023,1996893,1982458,1983964,1994226,2004234,2012844,2023778,2037936,2053384,2064737,2071142,2075874,2078662,2081075,2083488,2086227,2089787,2093828,2097099,2099478,2102215,2105291,2107962,2110196,2111979,2113491,2114176,2111072,2103330,2093599,2085679
Northern Mariana Islands,7063,7127,7214,7335,7474,7635,7813,8003,8227,8463,8702,8965,9252,9561,9890,10229,10577,10720,10440,9952,10143,11279,12730,14094,14905,15269,15595,15901,16194,16494,17613,19902,22647,25594,28735,32041,35459,38923,42381,45859,48002,48302,48128,47948,47780,48717,53367,60817,68501,76237,80338,79479,77162,74623,71898,69025,66060,63050,60032,57056,54087,52520,52359,52141,51856,51514,51133,50729,50304,49858,49587,49481,49551,49796
Norway,3281416,3296340,3328325,3361500,3394890,3429090,3461602,3492505,3523479,3553260,3581520,3609995,3639133,3666800,3694673,3723510,3753077,3784342,3816298,3847521,3875546,3902910,3933047,3960709,3985380,4007466,4026314,4043361,4058807,4072653,4085776,4099855,4114931,4128572,4140235,4152637,4167459,4187036,4209653,4227074,4241636,4261886,4286557,4312136,4336739,4359333,4381510,4405333,4431676,4462142,4491202,4514017,4538438,4565167,4592277,4623689,4661087,4709577,4768654,4829199,4889741,4953561,5019056,5080668,5137923,5190356,5236590,5277392,5312320,5348279,5379839,5403021,5434319,5474360
Oman,457317,463719,470396,477401,484741,492416,500443,508853,517707,527029,536553,546443,557139,568603,580824,593808,607538,622042,637379,653593,670693,688803,708045,728597,754676,787194,824081,866124,912750,963351,1017462,1075624,1138301,1204626,1273306,1353289,1443446,1533351,1623433,1713838,1804524,1895187,1985227,2071868,2133675,2172672,2209958,2245588,2279727,2312600,2344253,2374653,2403659,2431600,2468855,2515192,2560649,2605700,2651028,2697537,2881914,3206870,3535579,3816680,4009267,4191776,4398070,4541854,4601157,4602768,4543399,4520471,4576298,4644384
Pakistan,37696264,38215785,38816777,39488228,40224090,41023128,41884995,42808511,43794993,44843639,45954226,47060915,48161841,49325050,50552592,51841626,53199414,54629793,56124743,57676805,59290872,60878781,62509565,64285624,66149169,68126999,70230923,72451105,74789330,77407341,80624057,84270202,87828198,91080372,94003867,97121552,100618523,104251093,107967838,111670386,115414069,119203569,122375179,125546615,129245139,133117476,137234810,141330267,145476106,149694462,154369924,159217727,163262807,166876680,170648620,174372098,178069984,181924521,185931955,190123222,194454498,198602738,202205861,205337562,208251628,210969298,213524840,216379655,219731479,223293280,227196741,231402117,235824862,240485658
Palau,7430,7529,7638,7798,8008,8252,8516,8791,9051,9264,9446,9639,9851,10076,10318,10563,10813,10992,11079,11159,11366,11740,12172,12541,12662,12607,12539,12463,12387,12300,12252,12386,12666,12973,13299,13644,13985,14309,14632,14957,15293,15640,16004,16380,16770,17209,17732,18297,18852,19380,19726,19828,19851,19880,19907,19831,19619,19366,19102,18826,18540,18240,17946,17805,17796,17794,17816,17837,17864,17916,17972,18024,18055,18058
Panama,861079,882710,905583,929509,954303,980004,1006764,1034739,1064034,1094741,1126989,1160832,1196289,1233267,1271461,1310556,1350462,1391072,1432255,1473965,1516188,1559072,1602646,1646580,1690676,1734876,1779037,1823146,1867313,1911814,1956987,2003092,2050247,2098499,2147577,2197065,2246960,2297231,2347821,2398535,2449968,2502044,2554382,2607499,2661385,2716067,2771606,2827992,2885177,2943120,3001731,3061024,3120990,3181608,3243311,3305868,3368573,3431614,3495276,3559343,3623617,3688674,3754862,3821556,3888793,3957099,4026336,4096063,4165255,4232532,4294396,4351267,4408581,4468087
Papua New Guinea,1542854,1574111,1608470,1647998,1690220,1734921,1782051,1831047,1881514,1933070,1985666,2035672,2082562,2129222,2175409,2222178,2271490,2322647,2375356,2430922,2489059,2549315,2610700,2672144,2733313,2794462,2855837,2917572,2979606,3041902,3104788,3169073,3235264,3303677,3374465,3447579,3522916,3600343,3679651,3764112,3864972,3990995,4136644,4291588,4451694,4616439,4785895,4960439,5138829,5321388,5508297,5698489,5892596,6090980,6293166,6498818,6708217,6921066,7137988,7358890,7583269,7806637,8026545,8245627,8464153,8682174,8899169,9114796,9329227,9542486,9749640,9949437,10142619,10329931
Paraguay,1504810,1539188,1574419,1610541,1647627,1685747,1724937,1765319,1807018,1850143,1894829,1941208,1989376,2039390,2090840,2143153,2195955,2248882,2301887,2355122,2408787,2463777,2521508,2583160,2648082,2714664,2782624,2852430,2924370,2999415,3078912,3163299,3251678,3343276,3437892,3535498,3636027,3739050,3844437,3951288,4059195,4167996,4277051,4386202,4495301,4603917,4711655,4818289,4923449,5026031,5123819,5211541,5286512,5353254,5416324,5476878,5534675,5590145,5645148,5702574,5768613,5843939,5923322,6005652,6090721,6177950,6266615,6355404,6443328,6530026,6618695,6703799,6780744,6861524
Peru,7678967,7897482,8121459,8349466,8583399,8825897,9077048,9336910,9602507,9879206,10172207,10478096,10792094,11112665,11442301,11781581,12127990,12481626,12843249,13213739,13562371,13911968,14292437,14674785,15057175,15441497,15826813,16224613,16638480,17059185,17492406,17932344,18374372,18826906,19285646,19746610,20208437,20671360,21143799,21624311,22109099,22583006,23047248,23513882,23983258,24449055,24907304,25365386,25818226,26252239,26654439,27014909,27334503,27623341,27893911,28147267,28381078,28600387,28806185,29009326,29229572,29477721,29749589,30038809,30353951,30711863,31132779,31605486,32203944,32824861,33304756,33715471,34049588,34352719
Philippines,18469878,19301117,20167861,21073747,22025355,23027910,24079343,25175946,26302696,27460371,28486871,29342411,30185979,31043711,31916622,32805538,33704749,34616857,35544973,36477170,37435586,38421746,39412479,40406234,41388324,42394433,43474370,44646518,45890739,47154232,48419546,49679330,50938522,52219685,53514959,54812660,56109838,57415175,58755923,60127343,61558898,63039751,64543525,66083321,67650283,69250468,70944969,72718837,74491918,76249064,77958223,79626086,81285572,82942837,84607501,86261250,87901835,89561377,91252326,92946951,94636700,96337913,98032317,99700107,101325201,103031365,104875266,106738501,108568836,110380804,112190977,113880328,115559009,117337368
Poland,24786236,25242274,25704541,26168161,26630354,27099199,27582025,28076084,28583989,29068120,29509903,29913232,30271919,30608319,30927873,31224081,31504832,31765963,32016870,32262057,32482943,32710744,32979398,33270009,33578683,33899770,34229706,34561582,34870698,35188357,35521429,35851094,36188644,36536141,36876560,37179160,37436798,37654411,37812076,37939013,38064255,38167382,38252276,38319296,38375459,38401978,38401408,38396130,38379990,38354956,38504431,38662862,38647476,38621531,38596042,38575911,38547179,38521874,38522882,38555285,38597353,38620847,38625874,38607353,38581872,38553146,38532113,38532812,38521457,38493601,38428366,38307726,39857145,41026067
Portugal,8416952,8472644,8523684,8573397,8619174,8665451,8707083,8748069,8799094,8849589,8882469,8896915,8905437,8907702,8905558,8899092,8881847,8856641,8821528,8768151,8683631,8700519,8833266,8957960,9079603,9202709,9330201,9458997,9578255,9686178,9785252,9856752,9904424,9943821,9974819,9996896,10011030,10020203,10023310,10020315,10007346,9986415,9978744,9992103,10018104,10051248,10087645,10130549,10179415,10233369,10300626,10371819,10430914,10473344,10501522,10523315,10543947,10565551,10580960,10591343,10588401,10564826,10522086,10464535,10408372,10365435,10332753,10307530,10289835,10289923,10298192,10290103,10270865,10247605
Puerto Rico,2229742,2250405,2269211,2284810,2298008,2309782,2320567,2329614,2336795,2343690,2365072,2404223,2446291,2486863,2526147,2564270,2601197,2636741,2670526,2701800,2737619,2782018,2829184,2876681,2924358,2972267,3020456,3068870,3117169,3166208,3214568,3259445,3301071,3339381,3374447,3406279,3434981,3461929,3487970,3513735,3543776,3578450,3612629,3645017,3675749,3704947,3732811,3759518,3785238,3810115,3827108,3832131,3830773,3825628,3817037,3805559,3791559,3775440,3757619,3738939,3717922,3691614,3657988,3615018,3560010,3497335,3432740,3366408,3319269,3292887,3271564,3256028,3252407,3260314
Qatar,24288,25093,25934,26798,27705,28668,29712,30880,32246,33973,36385,40111,45123,50950,57531,64843,73102,82517,93022,104517,118007,133096,148338,163734,179299,195043,210990,227177,243624,260368,277450,294887,312608,330454,348241,365868,382328,397391,412142,426896,441675,456486,471293,486041,500683,515133,529265,550591,580997,613302,645937,678831,713186,748525,777943,848710,1015060,1231893,1444277,1610274,1713504,1804171,1905660,2035501,2214465,2414573,2595166,2711755,2766732,2807235,2760385,2688235,2695122,2716391
Réunion,249299,258762,268545,278658,289503,301358,313517,326067,338966,352226,365994,379572,392308,404471,416675,427612,436827,445604,454762,464413,473925,483206,492125,500500,508181,515586,523006,530261,537400,544471,551674,559217,567487,577043,587821,599299,610813,622269,633971,646108,658992,672556,686472,700082,713167,725978,738568,751348,763870,775078,785424,795498,805244,814992,824519,833656,845365,860597,873979,883111,890130,896634,902144,906890,914790,922495,926628,932739,941187,949419,957822,966129,974052,981796
Romania,16392971,16612734,16828585,17041122,17250994,17455291,17668031,17884928,18089945,18282518,18458008,18622911,18770327,18895142,19010052,19117072,19221483,19348536,19515298,19711721,19922618,20145244,20382169,20628252,20889661,21167265,21449635,21678700,21844026,21993493,22125224,22237470,22331065,22403762,22465037,22525363,22587322,22653807,22719093,22788040,22836234,22842482,22800963,22721656,22632776,22533134,22417869,22289535,22161242,22039007,21919876,21797590,21653532,21481320,21289286,21092264,20909401,20744230,20597508,20466318,20335211,20220285,20137118,20066546,19995836,19906079,19797820,19698853,19606783,19524211,19442038,19328560,19659267,19892812
Russia,102580107,104151680,105790045,107493129,109221068,110971852,112783329,114590996,116373652,118076840,119735095,121408978,122914605,124227725,125394235,126400607,127293948,128111727,128822373,129489455,130093010,130719659,131456435,132191634,132970443,133841842,134764462,135712068,136659133,137510309,138257420,139002880,139848005,140854123,141892552,142896392,144046482,145312019,146464378,147341508,148005704,148455402,148725601,148897270,148829113,148557451,148233411,147939972,147672728,147336388,146844839,146235530,145590136,144946723,144353636,143800049,143338669,143117693,143086549,143163643,143242599,143364543,143629362,143956866,144285070,144668389,145109157,145452536,145652293,145742286,145617329,145102755,144713314,144444359
Rwanda,2154218,2227465,2302453,2378936,2457262,2537919,2620713,2706054,2793070,2880595,2966162,3046654,3122124,3191311,3263640,3348631,3444021,3549461,3662010,3777879,3896367,4015403,4135579,4259484,4386369,4515756,4648207,4783252,4921953,5074374,5247532,5441966,5652900,5859396,6056729,6266752,6497804,6735829,6953975,7141974,7319962,7485681,7657208,7904740,6732665,5686897,6715510,7666732,7914645,8009587,8109989,8223941,8372306,8567992,8791853,9026299,9270066,9523168,9781996,10043737,10309031,10576932,10840334,11101350,11368451,11642959,11930899,12230339,12531808,12835028,13146362,13461888,13776698,14094683
Saint Barthelemy,2007,2059,2084,2103,2120,2130,2127,2126,2143,2167,2193,2217,2241,2275,2313,2346,2378,2399,2405,2410,2417,2435,2462,2484,2519,2575,2644,2732,2827,2913,2983,3035,3201,3483,3756,4016,4263,4505,4742,4964,5168,5365,5563,5762,5956,6144,6333,6524,6710,6895,7082,7271,7463,7655,7848,8044,8237,8430,8623,8816,8988,9108,9216,9338,9472,9643,9842,10044,10258,10480,10681,10861,10967,10994
Saint Helena,5224,5275,5301,5316,5321,5311,5299,5308,5327,5347,5368,5391,5417,5439,5456,5469,5492,5542,5609,5680,5760,5845,5926,6002,6066,6125,6167,6220,6289,6345,6397,6454,6516,6574,6617,6650,6679,6691,6676,6644,6608,6567,6518,6463,6402,6344,6286,6224,6160,6093,6024,5944,5851,5747,5638,5532,5426,5313,5260,5285,5321,5356,5389,5422,5457,5497,5510,5495,5472,5447,5420,5404,5374,5314
Saint Kitts & Nevis,47254,48362,49474,50569,51505,52347,53275,54255,55256,56230,56660,56247,55404,54391,53255,52016,50683,49269,47772,46135,44968,44583,44416,44242,44056,43888,43740,43603,43465,43278,43097,42953,42794,42600,42380,42144,41889,41617,41321,40992,40636,40542,40900,41447,42001,42550,43097,43656,44230,44825,45461,45986,46264,46431,46580,46725,46874,47015,47156,47286,47403,47581,47727,47767,47789,47790,47788,47785,47761,47712,47642,47606,47657,47755
Saint Lucia,86695,87310,87526,87775,88084,88463,88912,89435,90040,90678,91614,92761,93823,94887,95948,97024,98126,99257,100400,101605,103090,104781,106457,108114,109740,111497,113421,115385,117397,119463,121633,123909,126194,128440,130625,132751,134810,136780,138660,140457,142301,144268,146420,148595,150561,152348,153969,155454,156855,158256,159500,160594,161799,163047,164239,165386,166470,167518,168576,169688,170935,172145,173124,173978,174804,175623,176413,177163,177888,178583,179237,179651,179857,180251
Saint Martin,2978,3095,3200,3309,3426,3538,3649,3762,3878,4007,4135,4258,4388,4524,4666,4832,5044,5294,5497,5646,5802,5957,6114,6278,6447,6656,6896,7131,7357,7572,7776,7963,8957,10992,13299,15714,18234,20853,23552,26303,28127,28736,29035,29247,29380,29435,29407,29299,29102,29099,29610,30387,31160,31929,32697,33452,34183,34887,35541,36132,36458,36350,36026,35639,35261,35020,34811,34496,33852,33121,32553,31948,31791,32077
Saint Pierre & Miquelon,4473,4514,4567,4625,4684,4726,4753,4772,4829,4894,4925,4922,4933,4996,5073,5152,5234,5309,5383,5458,5537,5630,5726,5827,5909,5949,5986,6026,6058,6086,6106,6091,6085,6129,6180,6227,6268,6300,6322,6319,6324,6351,6375,6396,6408,6412,6410,6394,6343,6293,6274,6261,6241,6202,6160,6115,6077,6064,6059,6054,6052,6045,6027,6005,5989,5978,5965,5957,5944,5925,5906,5883,5862,5840
Samoa,87951,89907,91942,93972,95999,98037,100301,103087,106345,109811,113335,116820,120163,123416,126582,129789,132976,135752,138154,140457,142771,145064,147332,149587,152240,155263,158136,160362,161988,163489,164905,166190,166885,166944,166779,166517,166365,166773,167452,167886,168186,168701,169799,171362,173107,174902,176713,178543,180385,182211,184008,185530,186630,187440,188073,188626,189379,190478,191787,193176,194672,196351,198124,199939,201757,203571,205544,207630,209701,211905,214929,218764,222382,225681
San Marino,12963,13164,13345,13537,13754,13967,14236,14568,14898,15226,15556,15895,16242,16583,16926,17273,17588,17907,18291,18403,18169,18212,18575,19010,19439,19803,20160,20482,20795,21087,21346,21596,21804,21973,22096,22241,22390,22437,22542,22803,23132,23459,23808,24181,24535,24886,25235,25596,25997,26404,26823,27335,27969,28601,29093,29508,29959,30372,30700,31059,31608,32495,33132,33285,33389,33570,33834,34056,34156,34178,34007,33745,33660,33642
Sao Tome & Principe,60975,62050,63023,63864,64614,65300,65919,66463,66992,67532,68038,68705,69520,70272,70992,71730,72567,73564,74739,76059,77583,79226,80835,82472,84189,86037,88078,90299,92659,95017,97210,99170,100931,102650,104497,106607,108966,111610,114513,117445,120343,123084,125648,128182,130666,133077,135412,137656,139790,141808,143714,146258,149841,153762,157697,161680,165725,169845,174004,178128,182138,186044,189924,193757,197497,201124,204632,208036,211344,214599,218641,223107,227380,231856
Saudi Arabia,3089693,3183582,3279345,3377019,3477534,3581910,3690028,3802027,3916797,4036568,4165563,4306048,4458516,4621655,4795130,4978922,5173237,5381026,5604582,5844843,6106191,6396658,6724260,7088758,7483506,7897544,8319556,8755219,9210564,9682002,10171710,10678211,11201154,11746020,12310361,12890245,13483349,14089798,14713715,15353227,16004763,16654276,17281350,17846461,18367528,18888857,19410280,19938377,20472580,21009660,21547390,22085929,22623415,23150847,23661808,24397644,25382870,26400068,27437353,28483797,29411929,30150945,30821543,31482498,32125564,32749848,33416270,34193122,35018133,35827362,35997107,35950396,36408820,36947025
Senegal,2496065,2561152,2628508,2698414,2771247,2847262,2926572,3008862,3093941,3182056,3273177,3367082,3463524,3562469,3664599,3770874,3881994,3997869,4117659,4240859,4367744,4498616,4633452,4772039,4911421,5047922,5181195,5308297,5433225,5564474,5703869,5852029,6008392,6171874,6341801,6520705,6710885,6909837,7113636,7321832,7536001,7754289,7974514,8196551,8416997,8632681,8843423,9051539,9261526,9478564,9704287,9938027,10180950,10434504,10698691,10974057,11263387,11563869,11872929,12195029,12530121,12875880,13231833,13595566,13970308,14356181,14751356,15157793,15574909,16000781,16436120,16876720,17316449,17763163
Serbia,6017683,6081261,6147418,6222775,6290134,6348547,6400665,6445391,6487264,6530871,6579989,6643717,6711537,6776514,6840006,6902989,6966318,7026782,7084574,7140604,7193533,7242803,7296102,7355433,7416613,7479833,7544260,7607996,7669225,7726497,7777010,7814389,7841800,7866039,7889236,7912069,7931913,7948306,7963941,7977877,7987529,7964456,7943502,7957071,7969951,7982462,7993446,7997525,7985506,7959744,7935022,7917793,7904269,7887463,7863395,7830944,7794792,7758174,7722794,7688034,7653748,7620918,7591350,7566676,7543960,7519496,7493288,7464880,7433818,7401056,7358005,7296769,7221365,7149077
Seychelles,38106,38300,38581,38918,39318,39788,40331,40943,41608,42344,43167,44041,44969,45964,47023,48123,49284,50523,51808,53098,54379,55694,57052,58359,59621,60943,62181,63166,63978,64662,65290,65930,66435,66859,67346,67833,68325,68897,69585,70343,71057,71754,72417,73040,73846,74735,75550,76531,77664,78833,80060,81262,82433,83592,84715,85883,87093,88325,89644,91030,92409,93827,95309,96714,98001,99240,100508,101811,103101,104373,105530,106471,107118,107660
Sierra Leone,2000790,2026722,2053036,2079381,2106618,2135644,2166117,2197811,2230000,2264044,2301310,2341065,2382914,2426750,2472686,2520576,2569736,2620396,2672370,2724901,2778557,2832392,2886642,2942333,2998843,3055916,3112863,3172195,3235170,3300032,3367477,3437108,3509197,3585773,3666262,3749419,3842917,3947865,4056215,4159163,4325388,4378169,4301566,4295689,4314953,4324149,4347370,4405028,4449975,4475145,4584067,4857096,5140113,5350907,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718,8791092
Singapore,1006701,1048937,1096232,1148751,1206218,1267611,1332581,1400696,1469690,1538021,1601079,1657549,1711053,1762516,1812329,1860651,1906846,1950283,1990676,2027411,2061831,2095900,2131565,2168363,2202329,2232425,2261936,2292166,2323251,2358229,2400729,2451722,2507219,2564773,2624370,2685994,2749727,2814742,2880504,2945693,3022209,3120620,3228231,3334131,3438613,3543875,3651903,3760649,3866293,3966481,4053602,4121337,4176794,4226413,4270401,4344637,4486583,4663256,4838402,5010704,5163590,5281344,5381005,5478055,5570502,5650018,5711933,5764487,5814537,5866405,5909869,5941060,5975689,6014723
Sint Maarten,1458,1571,1671,1765,1863,1973,2087,2207,2336,2470,2646,2888,3171,3481,3811,4161,4531,4930,5354,5795,6260,6736,7226,7750,8312,8906,9523,10172,10850,11542,12243,13134,14418,15927,17474,19064,20703,22395,24139,25952,27845,29820,31345,31823,31735,31596,31410,31195,30957,30718,30489,30401,30574,30877,31184,31494,31813,32136,32456,32763,33034,33309,35139,37697,39100,40205,41346,41883,42246,42980,43621,44042,44175,44222
Slovakia,3465617,3524943,3591182,3659422,3727388,3796626,3867651,3936315,4002213,4064383,4124239,4185077,4235337,4277652,4322111,4363511,4400352,4433961,4463936,4492219,4522867,4557502,4597164,4641289,4688472,4737059,4786342,4835452,4883368,4930967,4973883,5011717,5048145,5082436,5115041,5146571,5175411,5201174,5224908,5245118,5261305,5280226,5301892,5321859,5338811,5349997,5358289,5365829,5371081,5374620,5376690,5376456,5375206,5374376,5374931,5376242,5377235,5378382,5381636,5388926,5396424,5402680,5409283,5414739,5419569,5424444,5431203,5439417,5446745,5453924,5456681,5447622,5643453,5795199
Slovenia,1445033,1458637,1472894,1488604,1505245,1521772,1538081,1554148,1569730,1584908,1599571,1613624,1627384,1641161,1655107,1669453,1684505,1699820,1714458,1728167,1741286,1754881,1769709,1785222,1800974,1817044,1833543,1850369,1867379,1884595,1901570,1916320,1927956,1937234,1945141,1952518,1959550,1966495,1973494,1980180,1986024,1989797,1991340,1991685,1991449,1991106,1990667,1989828,1988279,1986261,1984339,1982487,1983767,1989411,1996722,2004778,2013570,2023229,2034033,2045578,2057287,2065453,2069354,2072374,2074917,2080862,2090020,2098392,2105924,2112901,2117641,2119410,2119844,2119675
Solomon Islands,105209,107119,109309,111760,114448,117314,120288,123373,126649,130071,133440,136780,140254,143863,147609,151495,155514,159667,163973,168399,172833,177264,181876,186816,192155,197853,204082,210932,218193,225786,233668,241827,250250,258945,267913,277158,286527,295836,305132,314560,324171,333952,343916,354086,364505,375189,386069,397050,408145,419229,429978,440395,450760,461216,471785,482486,493430,504619,516001,527833,540394,553721,567763,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273,740424
Somalia,2213052,2276334,2339499,2402348,2465552,2529910,2595391,2662084,2729160,2798191,2870732,2945662,3022827,3102170,3183590,3267593,3353665,3441799,3532420,3625274,3720977,3818389,3918220,4022336,4125823,4228289,4333779,4449505,4777703,5408813,5892224,5934938,5951805,6142513,6369020,6630637,6908579,7158004,7160461,7035378,6999096,6732702,6428141,6620729,6959828,7210930,7472450,7734313,8056862,8384479,8721465,9070747,9411103,9758281,10117354,10467292,10784973,11118092,11444870,11730037,12026649,12216837,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,18143378
South Africa,13043844,13325058,13622914,13933246,14255876,14594129,14948934,15320138,15700877,16096455,16520441,16989464,17503133,18042215,18603097,19187194,19789771,20410677,21050540,21704214,22368306,23031441,23698507,24382513,25077016,25777964,26480300,27199838,27943445,28697014,29463549,30232561,31022417,31865176,32768207,33752964,34877834,36119333,37393853,38668684,39877570,40910959,41760755,42525440,43267982,43986084,44661603,45285048,45852166,46364681,46813266,47229714,47661514,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,60414495
South Korea,20104010,20116892,20393370,20862396,21432886,22075008,22763457,23494049,24256851,25036097,25817529,26552225,27234470,27905873,28555856,29179407,29838219,30540596,31229630,31912015,32601143,33288369,33976851,34659713,35319338,35930694,36456320,36911298,37329984,37737918,38170501,38731905,39403422,40053748,40664361,41232709,41808708,42405253,42988455,43567512,44120039,44487412,44703709,44932861,45165780,45393418,45660168,45962393,46250259,46520444,46788591,47064790,47320668,47539738,47727285,47889573,48049347,48220601,48398626,48588019,48813042,49169878,49634185,50098229,50558043,50994401,51309984,51511639,51676900,51803829,51844690,51830139,51815810,51784059
South Sudan,2492077,2526073,2563626,2604566,2648678,2695349,2742974,2790015,2831370,2868501,2907724,2948953,2992270,3036238,3088701,3143622,3185305,3221957,3261725,3301892,3342410,3396808,3464715,3542465,3629608,3718279,3808615,3901044,3995911,4092792,4192012,4293866,4398297,4502541,4603039,4706975,4819667,4893809,4814879,4706626,4750817,4867185,4956969,5018172,5142863,5302042,5434894,5589410,5699436,5850145,6114440,6394431,6686100,6992367,7317118,7662654,8029517,8417823,8823888,9229227,9714419,10243050,10701604,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164,11088796
Spain,28069694,28207080,28404771,28633539,28862377,29095374,29329776,29577444,29857437,30150510,30415591,30711863,31052630,31388554,31747643,32112015,32462268,32814224,33157581,33480512,33792617,34133622,34515170,34898147,35329897,35760431,36139064,36513082,36865443,37188965,37491666,37758649,37982149,38169760,38329925,38471920,38590808,38694533,38781722,38847318,38889889,38997063,39202251,39420546,39623725,39814573,39996473,40180050,40362357,40542232,40741651,40966450,41477655,42230270,42959666,43685374,44422831,45245782,45966538,46367772,46572772,46729232,46756082,46603459,46464551,46431342,46473315,46584170,46792043,47131372,47363807,47486935,47558630,47519628
Sri Lanka,7945977,8091461,8245475,8406910,8575075,8749627,8931095,9122978,9329666,9551293,9783871,10022888,10267067,10517531,10774086,11035224,11299721,11571008,11846815,12119207,12388769,12654651,12914457,13169737,13418276,13662873,13910170,14159052,14414816,14680387,14943645,15198918,15438753,15658442,15872577,16092338,16317995,16547139,16773736,16990575,17204094,17416596,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21580710,21649664,21715079,21773441,21832143,21893579
St. Vincent & Grenadines,61538,63405,65362,67414,69584,71822,74160,76651,79257,81984,84141,85666,87183,88638,90053,91495,92957,94382,95758,97126,98459,99699,100843,101924,102951,103879,104709,105499,106236,106882,107480,108191,108974,109684,110329,110906,111388,111770,112076,112320,112487,112780,113222,113621,113944,114174,114290,114276,114165,113995,113813,113641,113450,113108,112608,112043,111427,110824,110316,109840,109308,108703,108083,107450,106912,106482,105963,105549,105281,104924,104632,104332,103948,103698
State of Palestine,944807,953408,962908,973331,984729,997117,1010491,1024868,1040254,1056620,1073842,1091751,1110229,1128441,1141753,1148517,1147743,1137357,1123463,1114945,1118241,1136148,1166851,1195399,1225364,1263706,1300913,1337323,1374123,1412626,1453620,1497547,1546087,1604100,1674189,1731085,1775266,1862765,1963256,2041380,2124609,2214272,2309999,2410644,2515164,2623144,2734001,2847213,2950918,3044486,3139954,3230078,3309486,3384190,3460125,3541193,3627668,3717878,3808818,3899398,3992278,4087744,4184161,4281794,4380475,4484614,4593848,4700947,4805547,4909775,5019401,5133392,5250072,5371230
